a    b     c      brian constant
6    31    40     1.503048208727352
6    32    30     1.50304820872007
6    32    31     1.50304820873069
6    32    32     1.503048208725819
6    32    33     1.503048208728053
6    32    34     1.503048208727028
6    32    35     1.503048208727498
6    32    36     1.503048208727282
6    32    37     1.503048208727382
6    32    38     1.503048208727336
6    32    39     1.503048208727357
6    32    40     1.503048208727348
6    33    30     1.503048208720071
6    33    31     1.503048208730692
6    33    32     1.503048208725821
6    33    33     1.503048208728055
6    33    34     1.50304820872703
6    33    35     1.5030482087275
6    33    36     1.503048208727284
6    33    37     1.503048208727383
6    33    38     1.503048208727338
6    33    39     1.503048208727358
6    33    40     1.50304820872735
6    34    30     1.503048208720071
6    34    31     1.503048208730692
6    34    32     1.50304820872582
6    34    33     1.503048208728055
6    34    34     1.50304820872703
6    34    35     1.503048208727501
6    34    36     1.503048208727285
6    34    37     1.503048208727384
6    34    38     1.503048208727338
6    34    39     1.503048208727359
6    34    40     1.50304820872735
6    35    30     1.503048208720071
6    35    31     1.503048208730692
6    35    32     1.503048208725819
6    35    33     1.503048208728055
6    35    34     1.503048208727029
6    35    35     1.5030482087275
6    35    36     1.503048208727285
6    35    37     1.503048208727384
6    35    38     1.503048208727338
6    35    39     1.503048208727359
6    35    40     1.503048208727349
6    36    30     1.50304820872007
6    36    31     1.503048208730692
6    36    32     1.503048208725819
6    36    33     1.503048208728055
6    36    34     1.503048208727029
6    36    35     1.503048208727499
6    36    36     1.503048208727283
6    36    37     1.503048208727382
6    36    38     1.503048208727337
6    36    39     1.503048208727357
6    36    40     1.503048208727348
6    37    30     1.503048208720069
6    37    31     1.50304820873069
6    37    32     1.503048208725818
6    37    33     1.503048208728053
6    37    34     1.503048208727028
6    37    35     1.503048208727498
6    37    36     1.503048208727283
6    37    37     1.503048208727381
6    37    38     1.503048208727336
6    37    39     1.503048208727358
6    37    40     1.503048208727347
6    38    30     1.503048208720072
6    38    31     1.503048208730692
6    38    32     1.50304820872582
6    38    33     1.503048208728055
6    38    34     1.50304820872703
6    38    35     1.503048208727501
6    38    36     1.503048208727285
6    38    37     1.503048208727384
6    38    38     1.503048208727338
6    38    39     1.503048208727359
