a b c brian_constant
1 20 27 1.492066037302333
1 20 28 1.492066037302333
1 20 29 1.492066037302333
1 20 30 1.492066037302333
1 20 31 1.492066037302333
1 20 32 1.492066037302333
1 20 33 1.492066037302333
1 20 34 1.492066037302333
1 20 35 1.492066037302333
1 20 36 1.492066037302333
1 20 37 1.492066037302333
1 20 38 1.492066037302333
1 20 39 1.492066037302333
1 20 40 1.492066037302333
1 21 2 3.854101966873706
1 21 3 1.495531792747117
1 21 4 1.491472786232977
1 21 5 1.492167864139537
1 21 6 1.492048568330213
1 21 7 1.492069035098111
1 21 8 1.492065523521836
1 21 9 1.492066126012071
1 21 10 1.49206602264106
1 21 11 1.492066040376721
1 21 12 1.492066037333762
1 21 13 1.492066037855851
1 21 14 1.492066037766275
1 21 15 1.492066037781644
1 21 16 1.492066037779007
1 21 17 1.492066037779459
1 21 18 1.492066037779382
1 21 19 1.492066037779395
1 21 20 1.492066037779393
1 21 21 1.492066037779393
1 21 22 1.492066037779393
1 21 23 1.492066037779393
1 21 24 1.492066037779393
1 21 25 1.492066037779393
1 21 26 1.492066037779393
1 21 27 1.492066037779393
1 21 28 1.492066037779393
1 21 29 1.492066037779393
1 21 30 1.492066037779393
1 21 31 1.492066037779393
1 21 32 1.492066037779393
1 21 33 1.492066037779393
1 21 34 1.492066037779393
1 21 35 1.492066037779393
1 21 36 1.492066037779393
1 21 37 1.492066037779393
1 21 38 1.492066037779393
1 21 39 1.492066037779393
1 21 40 1.492066037779393
1 22 2 3.85410196601133
1 22 3 1.495531792562321
1 22 4 1.491472786051195
1 22 5 1.492167863957241
1 22 6 1.492048568148005
1 22 7 1.492069034915888
1 22 8 1.492065523339615
1 22 9 1.49206612582985
1 22 10 1.492066022458839
1 22 11 1.4920660401945
1 22 12 1.492066037151542
1 22 13 1.492066037673631
1 22 14 1.492066037584054
1 22 15 1.492066037599423
1 22 16 1.492066037596786
1 22 17 1.492066037597239
1 22 18 1.492066037597161
1 22 19 1.492066037597174
1 22 20 1.492066037597172
1 22 21 1.492066037597172
1 22 22 1.492066037597172
1 22 23 1.492066037597172
1 22 24 1.492066037597172
1 22 25 1.492066037597172
1 22 26 1.492066037597172
1 22 27 1.492066037597172
1 22 28 1.492066037597172
1 22 29 1.492066037597172
1 22 30 1.492066037597172
1 22 31 1.492066037597172
1 22 32 1.492066037597172
1 22 33 1.492066037597173
1 22 34 1.492066037597172
1 22 35 1.492066037597172
1 22 36 1.492066037597172
1 22 37 1.492066037597172
1 22 38 1.492066037597172
1 22 39 1.492066037597172
1 22 40 1.492066037597172
1 23 2 3.854101966340728
1 23 3 1.495531792632907
1 23 4 1.491472786120629
1 23 5 1.492167864026872
1 23 6 1.492048568217602
1 23 7 1.492069034985491
1 23 8 1.492065523409217
1 23 9 1.492066125899453
1 23 10 1.492066022528441
1 23 11 1.492066040264102
1 23 12 1.492066037221144
1 23 13 1.492066037743233
1 23 14 1.492066037653656
1 23 15 1.492066037669025
1 23 16 1.492066037666388
1 23 17 1.492066037666841
1 23 18 1.492066037666763
1 23 19 1.492066037666776
1 23 20 1.492066037666774
1 23 21 1.492066037666775
1 23 22 1.492066037666774
1 23 23 1.492066037666774
1 23 24 1.492066037666774
1 23 25 1.492066037666774
1 23 26 1.492066037666774
1 23 27 1.492066037666774
1 23 28 1.492066037666774
1 23 29 1.492066037666774
1 23 30 1.492066037666774
1 23 31 1.492066037666774
1 23 32 1.492066037666774
1 23 33 1.492066037666775
1 23 34 1.492066037666775
